date,portfolio_return,benchmark_return
2022-01-04,-0.018586,-0.000335
2022-01-05,-0.035361,-0.019202
2022-01-06,-0.002628,-0.00094
2022-01-07,-0.008957,-0.003953
2022-01-10,-2.7e-05,-0.001244
2022-01-11,0.014566,0.009108
2022-01-12,0.004655,0.002703
2022-01-13,-0.034095,-0.013778
2022-01-14,0.010592,0.000409
2022-01-18,-0.025415,-0.01771
2022-01-19,-0.016882,-0.010383
2022-01-20,-0.020566,-0.011068
2022-01-21,-0.030717,-0.019631
2022-01-24,0.002382,0.004247
2022-01-25,-0.028587,-0.012209
2022-01-26,0.010011,-0.002509
2022-01-27,-0.005811,-0.004938
2022-01-28,0.042444,0.024835
2022-01-31,0.03647,0.018011
2022-02-01,0.002232,0.006757
2022-02-02,0.010735,0.009714
2022-02-03,-0.046266,-0.023505
2022-02-04,0.041185,0.004702
2022-02-07,-0.000462,-0.003209
2022-02-08,0.016963,0.008228
2022-02-09,0.023086,0.014636
2022-02-10,-0.024631,-0.017966
2022-02-11,-0.038253,-0.019719
2022-02-14,0.006697,-0.003269
2022-02-15,0.035541,0.016127
2022-02-16,0.002052,0.001121
2022-02-17,-0.036988,-0.021361
2022-02-18,-0.016886,-0.006475
2022-02-22,-0.011238,-0.010732
2022-02-23,-0.032599,-0.017739
2022-02-24,0.043416,0.015049
2022-02-25,0.01387,0.022064
2022-02-28,0.003647,-0.002559
2022-03-01,-0.01937,-0.01523
2022-03-02,0.01905,0.018396
2022-03-03,-0.016104,-0.004979
2022-03-04,-0.021739,-0.008125
2022-03-07,-0.046694,-0.029479
2022-03-08,-0.006381,-0.007582
2022-03-09,0.043645,0.026811
2022-03-10,0.000346,-0.004516
2022-03-11,-0.019168,-0.012715
2022-03-14,-0.024899,-0.007308
2022-03-15,0.046079,0.02199
2022-03-16,0.039864,0.022174
2022-03-17,0.011826,0.012511
2022-03-18,0.033049,0.010953
2022-03-21,0.004107,-0.000292
2022-03-22,0.012591,0.011701
2022-03-23,-0.012333,-0.012878
2022-03-24,0.034425,0.015074
2022-03-25,-0.001762,0.004884
2022-03-28,0.018194,0.007113
2022-03-29,0.012925,0.012371
2022-03-30,-0.015769,-0.006175
2022-03-31,-0.017478,-0.015391
2022-04-01,-0.003926,0.002834
2022-04-04,0.023788,0.008566
2022-04-05,-0.027412,-0.012631
2022-04-06,-0.036532,-0.009999
2022-04-07,-0.001556,0.005039
2022-04-08,-0.02314,-0.002674
2022-04-11,-0.034638,-0.017092
2022-04-12,-0.005188,-0.003705
2022-04-13,0.025021,0.011454
2022-04-14,-0.031072,-0.012452
2022-04-18,0.008235,0.000411
2022-04-19,0.021274,0.016143
2022-04-20,-0.013899,-0.000742
2022-04-21,-0.03043,-0.014953
2022-04-22,-0.027918,-0.027439
2022-04-25,0.015731,0.005798
2022-04-26,-0.044114,-0.028961
2022-04-27,0.004502,0.002812
2022-04-28,0.047139,0.025259
2022-04-29,-0.070335,-0.036956
2022-05-02,0.020482,0.006019
2022-05-03,0.00043,0.004584
2022-05-04,0.030233,0.030453
2022-05-05,-0.062039,-0.035543
2022-05-06,-0.006932,-0.005969
2022-05-09,-0.053659,-0.032017
2022-05-10,0.018351,0.002311
2022-05-11,-0.042982,-0.015886
2022-05-12,-0.014856,-0.001044
2022-05-13,0.05161,0.023908
2022-05-16,-0.013508,-0.004058
2022-05-17,0.034946,0.02057
2022-05-18,-0.060418,-0.040311
2022-05-19,-0.003858,-0.006125
2022-05-20,-0.00578,0.000436
2022-05-23,0.021014,0.01871
2022-05-24,-0.024834,-0.007634
2022-05-25,0.022207,0.008835
2022-05-26,0.031994,0.019981
2022-05-27,0.039693,0.024549
2022-05-31,0.006555,-0.005611
2022-06-01,-0.001359,-0.008088
2022-06-02,0.031406,0.019044
2022-06-03,-0.031214,-0.016412
2022-06-06,0.005998,0.003045
2022-06-07,0.006162,0.009592
2022-06-08,-0.010497,-0.010872
2022-06-09,-0.032606,-0.023783
2022-06-10,-0.049665,-0.028996
2022-06-13,-0.053354,-0.037968
2022-06-14,0.00371,-0.003013
2022-06-15,0.036468,0.014256
2022-06-16,-0.039974,-0.033096
2022-06-17,0.016263,0.002156
2022-06-21,0.030928,0.025174
2022-06-22,-0.004045,-0.001813
2022-06-23,0.016998,0.009803
2022-06-24,0.037488,0.031794
2022-06-27,-0.013331,-0.00382
2022-06-28,-0.041381,-0.020433
2022-06-29,0.003596,-0.000814
2022-06-30,-0.020183,-0.008124
2022-07-01,0.004114,0.010576
2022-07-05,0.024464,0.001889
2022-07-06,0.010199,0.003377
2022-07-07,0.024459,0.014977
2022-07-08,-0.001524,-0.000823
2022-07-11,-0.025661,-0.011424
2022-07-12,-0.015352,-0.008849
2022-07-13,0.00249,-0.005252
2022-07-14,0.010416,-0.002428
2022-07-15,0.018401,0.019105
2022-07-18,-0.001727,-0.008257
2022-07-19,0.035486,0.027019
2022-07-20,0.027651,0.006373
2022-07-21,0.013422,0.010183
2022-07-22,-0.020814,-0.009278
2022-07-25,-0.010191,0.001215
2022-07-26,-0.029174,-0.011831
2022-07-27,0.057693,0.025966
2022-07-28,0.013462,0.012542
2022-07-29,0.040507,0.014579
2022-08-01,0.000672,-0.002961
2022-08-02,-0.006309,-0.006597
2022-08-03,0.031462,0.015659
2022-08-04,0.010289,-0.000676
2022-08-05,-0.007044,-0.00169
2022-08-08,-0.021229,-0.001161
2022-08-09,-0.010925,-0.003971
2022-08-10,0.036232,0.021004
2022-08-11,-0.008691,0.0
2022-08-12,0.025476,0.016929
2022-08-15,0.006591,0.004121
2022-08-16,-9.5e-05,0.001959
2022-08-17,-0.010294,-0.007098
2022-08-18,0.004764,0.002906
2022-08-19,-0.026694,-0.013438
2022-08-22,-0.033572,-0.020823
2022-08-23,0.001222,-0.002419
2022-08-24,0.000794,0.003201
2022-08-25,0.023038,0.014118
2022-08-26,-0.054033,-0.033849
2022-08-29,-0.014982,-0.006612
2022-08-30,-0.013267,-0.010978
2022-08-31,-0.013936,-0.007609
2022-09-01,-0.016939,0.003138
2022-09-02,-0.013378,-0.010545
2022-09-06,-0.010876,-0.003773
2022-09-07,0.018471,0.017965
2022-09-08,0.0037,0.006536
2022-09-09,0.024192,0.015535
2022-09-12,0.019713,0.010748
2022-09-13,-0.06974,-0.043482
2022-09-14,0.00597,0.003816
2022-09-15,-0.019716,-0.011353
2022-09-16,-0.003635,-0.007629
2022-09-19,0.011818,0.007755
2022-09-20,-0.007002,-0.011479
2022-09-21,-0.014531,-0.017444
2022-09-22,-0.015261,-0.0084
2022-09-23,-0.015374,-0.016755
2022-09-26,-0.002671,-0.009893
2022-09-27,0.002722,-0.002553
2022-09-28,0.016137,0.019676
2022-09-29,-0.032911,-0.020889
2022-09-30,-0.017929,-0.015464
2022-10-03,0.030157,0.026401
2022-10-04,0.039186,0.030987
2022-10-05,0.001343,-0.002328
2022-10-06,-0.006913,-0.010316
2022-10-07,-0.05389,-0.027894
2022-10-10,-0.015084,-0.007635
2022-10-11,-0.011762,-0.006333
2022-10-12,-0.001093,-0.003299
2022-10-13,0.026986,0.026391
2022-10-14,-0.041952,-0.022789
2022-10-17,0.047924,0.025697
2022-10-18,0.010681,0.01175
2022-10-19,-0.002943,-0.007086
2022-10-20,0.002192,-0.008385
2022-10-21,0.02749,0.024301
2022-10-24,0.012712,0.012237
2022-10-25,0.023046,0.015968
2022-10-26,-0.041317,-0.007534
2022-10-27,-0.017286,-0.00534
2022-10-28,0.024417,0.023791
2022-10-31,-0.016252,-0.007223
2022-11-01,-0.021587,-0.004376
2022-11-02,-0.036212,-0.025096
2022-11-03,-0.021079,-0.010297
2022-11-04,0.026239,0.014393
2022-11-07,0.009617,0.009566
2022-11-08,0.005884,0.005395
2022-11-09,-0.037871,-0.020602
2022-11-10,0.109079,0.054954
2022-11-11,0.028988,0.009678
2022-11-14,-0.014191,-0.008507
2022-11-15,0.010236,0.008529
2022-11-16,-0.017566,-0.007629
2022-11-17,-0.006313,-0.00306
2022-11-18,-0.005675,0.00454
2022-11-21,-0.010514,-0.003636
2022-11-22,0.020512,0.013457
2022-11-23,0.014076,0.006302
2022-11-25,-0.01067,-0.000224
2022-11-28,-0.017716,-0.015957
2022-11-29,-0.013807,-0.001718
2022-11-30,0.059294,0.031501
2022-12-01,0.000471,-0.000736
2022-12-02,-0.007884,-0.001154
2022-12-05,-0.018948,-0.017989
2022-12-06,-0.028377,-0.014415
2022-12-07,-0.001536,-0.001701
2022-12-08,0.027743,0.007834
2022-12-09,-0.008792,-0.00747
2022-12-12,0.023269,0.014417
2022-12-13,0.019074,0.00757
2022-12-14,-0.011558,-0.006394
2022-12-15,-0.03845,-0.024462
2022-12-16,-0.015268,-0.011806
2022-12-19,-0.021457,-0.00848
2022-12-20,-0.000533,0.001368
2022-12-21,0.019774,0.014952
2022-12-22,-0.038516,-0.014266
2022-12-23,0.002056,0.005752
2022-12-27,-0.029642,-0.003943
2022-12-28,-0.015413,-0.012428
2022-12-29,0.031299,0.018
2022-12-30,-0.000963,-0.002634
2023-01-03,-0.0093,-0.00421
2023-01-04,-0.002759,0.00772
2023-01-05,-0.024196,-0.011413
2023-01-06,0.031458,0.022932
2023-01-09,0.020112,-0.000567
2023-01-10,0.014696,0.007013
2023-01-11,0.028804,0.012648
2023-01-12,0.011197,0.003641
2023-01-13,0.016638,0.003879
2023-01-17,0.009965,-0.001832
2023-01-18,-0.01219,-0.015788
2023-01-19,-0.017469,-0.00728
2023-01-20,0.039284,0.018629
2023-01-23,0.028001,0.011999
2023-01-24,-0.000179,-0.001073
2023-01-25,0.000333,0.000375
2023-01-26,0.022824,0.01099
2023-01-27,0.0183,0.002298
2023-01-30,-0.02941,-0.012547
2023-01-31,0.018816,0.014703
2023-02-01,0.029847,0.010628
2023-02-02,0.04858,0.014557
2023-02-03,-0.027897,-0.010629
2023-02-06,-0.009067,-0.006112
2023-02-07,0.027996,0.013079
2023-02-08,-0.009872,-0.010935
2023-02-09,-0.007679,-0.008669
2023-02-10,-0.01348,0.002334
2023-02-13,0.023604,0.011739
2023-02-14,0.013703,-0.00046
2023-02-15,0.002886,0.003248
2023-02-16,-0.02507,-0.013769
2023-02-17,-0.015183,-0.002498
2023-02-21,-0.027198,-0.020061
2023-02-22,0.003973,-0.001378
2023-02-23,0.039195,0.005319
2023-02-24,-0.019994,-0.010682
2023-02-27,0.006008,0.003406
2023-02-28,-0.00338,-0.003696
2023-03-01,-0.017762,-0.003836
2023-03-02,0.012622,0.007777
2023-03-03,0.026627,0.016038
2023-03-06,-0.000364,0.000693
2023-03-07,-0.009586,-0.015329
2023-03-08,0.012227,0.001632
2023-03-09,-0.017236,-0.01845
2023-03-10,-0.016309,-0.01443
2023-03-13,0.013372,-0.001425
2023-03-14,0.028854,0.01653
2023-03-15,0.010305,-0.006254
2023-03-16,0.038335,0.017545
2023-03-17,0.000637,-0.011693
2023-03-20,-0.004003,0.009616
2023-03-21,0.014715,0.01313
2023-03-22,-0.005815,-0.017047
2023-03-23,0.013527,0.002703
2023-03-24,-0.00056,0.006562
2023-03-27,-0.009351,0.00187
2023-03-28,-0.005216,-0.002245
2023-03-29,0.022916,0.014535
2023-03-30,0.013688,0.005855
2023-03-31,0.01441,0.014095
2023-04-03,0.00056,0.003811
2023-04-04,-0.001674,-0.005548
2023-04-05,-0.017358,-0.002618
2023-04-06,0.011582,0.003901
2023-04-10,-0.000607,0.001026
2023-04-11,-0.016787,0.000269
2023-04-12,-0.011936,-0.004076
2023-04-13,0.025502,0.013283
2023-04-14,-0.000664,-0.002443
2023-04-17,0.005195,0.003588
2023-04-18,0.00659,0.000652
2023-04-19,0.009085,-0.000169
2023-04-20,-0.012066,-0.005457
2023-04-21,0.004973,0.000777
2023-04-24,-0.005484,0.001043
2023-04-25,-0.023966,-0.015874
2023-04-26,0.030779,-0.004236
2023-04-27,0.029136,0.019908
2023-04-28,-0.001267,0.008535
2023-05-01,0.000883,-0.00101
2023-05-02,-0.003853,-0.011239
2023-05-03,-0.006011,-0.006864
2023-05-04,-0.002963,-0.007083
2023-05-05,0.030152,0.018513
2023-05-08,0.002798,0.000266
2023-05-09,-0.006937,-0.004385
2023-05-10,0.018048,0.004673
2023-05-11,0.00037,-0.001744
